e-Ar cross sections adapted from Hayashi
"Energy in eV, cross sections in 10^-20 m^2"
Energy, Elastic, Excitation,Ionization, Total
0.,7.79,0.,0.,7.79
0.5,0.473,0.,0.,0.473
1.,1.43,0.,0.,1.43
1.5,2.41,0.,0.,2.41
2.,3.52,0.,0.,3.52
2.5,4.53,0.,0.,4.53
3.,5.5,0.,0.,5.5
3.5,6.34,0.,0.,6.34
4.,7.18,0.,0.,7.18
4.5,8.14,0.,0.,8.14
5.,9.1,0.,0.,9.1
5.5,10.15,0.,0.,10.15
6.,11.2,0.,0.,11.2
6.5,12.425,0.,0.,12.425
7.,13.65,0.,0.,13.65
7.5,14.875,0.,0.,14.875
8.,16.1,0.,0.,16.1
8.5,17.175,0.,0.,17.175
9.,18.25,0.,0.,18.25
9.5,19.325,0.,0.,19.325
10.,20.4,0.,0.,20.4
10.5,21.1,0.,0.,21.1
11.,21.8,0.,0.,21.8
11.5,22.5,0.,0.,22.5
12.,23.2,0.0164,0.,23.2164
12.5,23.3,0.0377,0.,23.3377
13.,23.4,0.0544,0.,23.4544
13.5,23.5,0.0765,0.,23.5765
14.,23.6,0.11,0.,23.71
14.5,23.7,0.1386,0.,23.8386
15.,23.8,0.1622,0.,23.9622
15.5,23.39,0.1827,0.,23.5727
16.,22.98,0.2033,0.0202,23.2035
16.5,22.57,0.2203,0.0771,22.8674
17.,22.16,0.2374,0.134,22.5314
17.5,21.75,0.2488,0.214,22.2128
18.,21.34,0.2603,0.294,21.8943
18.5,20.93,0.2684,0.377,21.5754
19.,20.52,0.2766,0.46,21.2566
19.5,20.11,0.2843,0.5435,20.9378
20.,19.7,0.292,0.627,20.619
25,15.5,0.3267,1.3,17.1267
30,12.5,0.3483,1.8,14.6483
35,10.815,0.3678,2.175,13.3578
40,9.13,0.385,2.39,11.905
45,8.255,0.3919,2.49,11.1369
50,7.38,0.3988,2.53,10.3088
60,6.34,0.3963,2.66,9.3963
70,5.765,0.3841,2.77,8.9191
80,5.19,0.3641,2.84,8.3941
90,4.905,0.3452,2.86,8.1102
100,4.62,0.3263,2.85,7.7963
150,3.7,0.2457,2.68,6.6257
200,3.13,0.2012,2.39,5.7212
250,2.77,0.1762,2.17,5.1162
300,2.5,0.1511,1.98,4.6311
350,2.32,0.1352,1.81,4.2652
400,2.14,0.1225,1.68,3.9425
450,2.015,0.1134,1.57,3.6984
500,1.89,0.1044,1.46,3.4544
600,1.71,0.0941,1.3,3.1041
700,1.58,0.0839,1.16,2.8239
800,1.45,0.0736,1.06,2.5836
900,1.355,0.0678,0.988,2.4109
1000,1.26,0.0621,0.916,2.2381
2000,1.12,0.0552,0.8142,1.9894
10000,0.,0.,0.,0.
